title     ,image     ,description     ,price     
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 20GB DDR4 512GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121165/1684227780_12769100.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 20GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA MX350; без операционной системы",58840 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 32GB DDR4 512GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122957/1688019187_41240100.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 32GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",89560 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 64GB DDR5 512GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122958/1688019216_79790500.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 64GB DDR5; накопитель 512GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",105330 сом
Ноутбук HP Envy X360 AMD Ryzen 5-5625U 8GB DDR 256GB SSD AMD Radeon Vega 7 Graphics FHD W11 Nightfall Black,https://www.kivano.kg/images/product/114255/1669262816_24351300.jpg,"Тип: ноутбук; Операционная система: Windows 11; Экран: 15.6"" 1920x1080; Процессор: AMD Ryzen 5-5625U; Объем оперативной памяти: 8 GB DDR4; Объем накопителя: 256 GB SSD; Видеоконтроллер: AMD Radeon Vega 7 Graphics; Вес: от 1.86 кг",72210 сом
Ноутбук Lenovo ThinkBook 15 Gen 4 Intel Core i5-1235U 8GB DDR4 256GB SSD Intel Iris Xe Graphics G7 FHD W11 Mineral Grey,https://www.kivano.kg/images/product/118863/1679304796_39074100.jpg,"Диагональ экрана: 15.6"" 1920x1080; Операционная система: Windows 11; Процессор: Intel Core i5-1235U (10/12) 1300-4400 MHz; Объем памяти: 8GB DDR4 / 256 GB SSD; Видеоконтроллер: Intel Iris Xe Graphics G7; Вес: от 1.7 кг",83200 сом
Ноутбук Lenovo IdeaPad 3 15IAU7 82RK00EKAK Intel Core i5-1235U 16GB DDR4 256GB SSD Intel Iris Graphics FHD DOS Arctic Grey,https://www.kivano.kg/images/product/121167/1684228023_18474900.png,"Диагональ экрана: 15,6"" 1920х1080; Операционная система: DOS; Процессор: Intel Core i5-1235U (10/12) 1300-4400 МГц; Объем памяти: 16GB DDR4 / 256GB SSD; Видеоконтроллер: Intel Iris Graphics; Вес: от 1.63 кг",46350 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 32GB DDR4 1000GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122959/1688019308_90950000.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 32GB DDR4; накопитель 1000GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",92730 сом
Ноутбук Lenovo ThinkPad T14 Gen 2 Intel Core i5-1135G7 8GB DDR4 256GB SSD NVIDIA MX450 2GB FHD W11 Black,https://www.kivano.kg/images/product/118864/1679305093_71548000.jpg,"Диагональ экрана: 14"" 1920x1080; Операционная система: Windows 11; Процессор: Intel Core i5-1135G7 (4/8) 2400-4200 MHz; Объем памяти: 8GB DDR4 / 256 GB SSD; Видеоконтроллер: Nvidia MX450 2GB; Вес: от 1.53 кг",84290 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 8GB DDR4 1TB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121168/1684228070_80837400.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 8GB DDR4; накопитель 1TB SSD; видеокарта NVIDIA MX350; без операционной системы",59290 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 48GB DDR4 256GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122960/1688019434_02520600.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 48GB DDR4; накопитель 256GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",92280 сом
